Profile,min_violations-committee,min_violations,max_violations-committee,max_violations,candidate_pairs,candidate_pairs-normalized-no_diagonal,binary_pairs-no_diagonal,rank_matrix,rank_matrix-normalized
"[(0, 2, 1), (0, 1, 2), (0, 2, 1), (1, 0, 2), (1, 0, 2), (1, 0, 2), (1, 0, 2), (1, 0, 2), (0, 2, 1), (1, 0, 2)]","(1, 1, 0)",0,"(1, 0, 1)",7,"[0, 4, 10, 6, 0, 7, 0, 3, 0]","[0.13333, 0.33333, 0.2, 0.23333, 0.0, 0.1]","[1, 1, 0, 1, 0, 0]","[4, 6, 0, 6, 1, 3, 0, 3, 7]","[0.13333, 0.2, 0.0, 0.2, 0.03333, 0.1, 0.0, 0.1, 0.23333]"
"[(2, 0, 1), (0, 2, 1), (0, 2, 1), (1, 0, 2), (2, 0, 1), (2, 1, 0), (0, 2, 1), (1, 0, 2), (2, 0, 1), (2, 1, 0), (0, 2, 1)]","(1, 0, 1)",0,"(1, 1, 0)",4,"[0, 7, 6, 4, 0, 2, 5, 9, 0]","[0.21212, 0.18182, 0.12121, 0.06061, 0.15152, 0.27273]","[1, 1, 0, 1, 0, 0]","[4, 5, 2, 2, 2, 7, 5, 4, 2]","[0.12121, 0.15152, 0.06061, 0.06061, 0.06061, 0.21212, 0.15152, 0.12121, 0.06061]"
"[(2, 1, 0), (2, 0, 1), (2, 0, 1), (0, 1, 2), (2, 0, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (2, 1, 0), (2, 0, 1), (1, 0, 2), (2, 1, 0), (1, 2, 0), (0, 2, 1), (0, 2, 1), (1, 2, 0)]","(1, 0, 1)",0,"(1, 1, 0)",2,"[0, 10, 7, 6, 0, 5, 9, 11, 0]","[0.20833, 0.14583, 0.125, 0.10417, 0.1875, 0.22917]","[1, 1, 0, 1, 0, 0]","[6, 5, 5, 3, 5, 8, 7, 6, 3]","[0.125, 0.10417, 0.10417, 0.0625, 0.10417, 0.16667, 0.14583, 0.125, 0.0625]"
"[(0, 1, 2), (1, 0, 2), (2, 1, 0), (1, 0, 2), (1, 0, 2), (1, 2, 0), (1, 2, 0), (1, 2, 0), (2, 1, 0)]","(0, 1, 1)",0,"(1, 0, 1)",8,"[0, 1, 4, 8, 0, 7, 5, 2, 0]","[0.03704, 0.14815, 0.2963, 0.25926, 0.18519, 0.07407]","[0, 1, 1, 1, 0, 0]","[1, 3, 5, 6, 3, 0, 2, 3, 4]","[0.03704, 0.11111, 0.18519, 0.22222, 0.11111, 0.0, 0.07407, 0.11111, 0.14815]"
"[(0, 2, 1), (2, 1, 0), (1, 2, 0), (2, 0, 1), (1, 2, 0), (2, 0, 1), (2, 0, 1), (2, 0, 1), (1, 2, 0)]","(1, 0, 1)",0,"(1, 1, 0)",8,"[0, 5, 1, 4, 0, 3, 8, 6, 0]","[0.18519, 0.03704, 0.14815, 0.11111, 0.2963, 0.22222]","[1, 0, 0, 1, 1, 0]","[1, 4, 4, 3, 1, 5, 5, 4, 0]","[0.03704, 0.14815, 0.14815, 0.11111, 0.03704, 0.18519, 0.18519, 0.14815, 0.0]"
"[(1, 2, 0), (2, 1, 0), (0, 2, 1), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (2, 0, 1), (1, 2, 0), (2, 0, 1)]","(0, 1, 1)",0,"(1, 0, 1)",7,"[0, 3, 1, 7, 0, 6, 9, 4, 0]","[0.1, 0.03333, 0.23333, 0.2, 0.3, 0.13333]","[1, 0, 0, 1, 1, 0]","[1, 2, 7, 6, 1, 3, 3, 7, 0]","[0.03333, 0.06667, 0.23333, 0.2, 0.03333, 0.1, 0.1, 0.23333, 0.0]"
"[(0, 2, 1), (1, 0, 2), (2, 0, 1), (0, 1, 2), (1, 0, 2), (0, 2, 1), (1, 0, 2), (0, 2, 1), (2, 1, 0), (0, 2, 1), (0, 1, 2)]","(1, 0, 1)",0,"(0, 1, 1)",5,"[0, 7, 9, 4, 0, 5, 2, 6, 0]","[0.21212, 0.27273, 0.12121, 0.15152, 0.06061, 0.18182]","[1, 1, 0, 1, 0, 0]","[6, 4, 1, 3, 3, 5, 2, 4, 5]","[0.18182, 0.12121, 0.0303, 0.09091, 0.09091, 0.15152, 0.06061, 0.12121, 0.15152]"
"[(2, 0, 1), (2, 0, 1), (0, 2, 1), (1, 2, 0), (0, 2, 1), (0, 2, 1)]","(1, 0, 1)",0,"(0, 1, 1)",5,"[0, 5, 3, 1, 0, 1, 3, 5, 0]","[0.27778, 0.16667, 0.05556, 0.05556, 0.16667, 0.27778]","[1, 1, 0, 0, 0, 1]","[3, 2, 1, 1, 0, 5, 2, 4, 0]","[0.16667, 0.11111, 0.05556, 0.05556, 0.0, 0.27778, 0.11111, 0.22222, 0.0]"
"[(2, 1, 0), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (2, 0, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1)]","(1, 1, 0)",0,"(0, 1, 1)",7,"[0, 10, 9, 1, 0, 8, 2, 3, 0]","[0.30303, 0.27273, 0.0303, 0.24242, 0.06061, 0.09091]","[1, 1, 0, 1, 0, 0]","[9, 1, 1, 0, 9, 2, 2, 1, 8]","[0.27273, 0.0303, 0.0303, 0.0, 0.27273, 0.06061, 0.06061, 0.0303, 0.24242]"
"[(1, 2, 0), (1, 2, 0), (2, 0, 1), (2, 0, 1), (1, 2, 0), (1, 2, 0), (2, 0, 1), (1, 2, 0), (1, 2, 0), (1, 2, 0)]","(0, 1, 1)",0,"(1, 0, 1)",7,"[0, 3, 0, 7, 0, 7, 10, 3, 0]","[0.1, 0.0, 0.23333, 0.23333, 0.33333, 0.1]","[1, 0, 0, 1, 1, 0]","[0, 3, 7, 7, 0, 3, 3, 7, 0]","[0.0, 0.1, 0.23333, 0.23333, 0.0, 0.1, 0.1, 0.23333, 0.0]"
"[(2, 1, 0), (0, 2, 1), (2, 1, 0), (2, 1, 0), (2, 0, 1)]","(0, 1, 1)",0,"(1, 1, 0)",8,"[0, 2, 1, 3, 0, 0, 4, 5, 0]","[0.13333, 0.06667, 0.2, 0.0, 0.26667, 0.33333]","[1, 0, 0, 0, 1, 1]","[1, 1, 3, 0, 3, 2, 4, 1, 0]","[0.06667, 0.06667, 0.2, 0.0, 0.2, 0.13333, 0.26667, 0.06667, 0.0]"
"[(2, 0, 1), (0, 1, 2)]","(1, 0, 1)",0,"(0, 1, 1)",4,"[0, 2, 1, 0, 0, 1, 1, 1, 0]","[0.33333, 0.16667, 0.0, 0.16667, 0.16667, 0.16667]","[1, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 1, 1, 1, 0, 1]","[0.16667, 0.16667, 0.0, 0.0, 0.16667, 0.16667, 0.16667, 0.0, 0.16667]"
"[(2, 0, 1), (1, 2, 0), (1, 2, 0), (2, 0, 1), (2, 0, 1), (1, 2, 0), (1, 2, 0)]","(0, 1, 1)",0,"(1, 0, 1)",7,"[0, 3, 0, 4, 0, 4, 7, 3, 0]","[0.14286, 0.0, 0.19048, 0.19048, 0.33333, 0.14286]","[1, 0, 0, 1, 1, 0]","[0, 3, 4, 4, 0, 3, 3, 4, 0]","[0.0, 0.14286, 0.19048, 0.19048, 0.0, 0.14286, 0.14286, 0.19048, 0.0]"
"[(1, 2, 0), (0, 2, 1), (0, 2, 1), (2, 1, 0), (2, 1, 0), (0, 1, 2), (2, 0, 1), (2, 0, 1), (0, 2, 1), (1, 2, 0), (0, 2, 1)]","(1, 0, 1)",0,"(1, 1, 0)",4,"[0, 7, 5, 4, 0, 3, 6, 8, 0]","[0.21212, 0.15152, 0.12121, 0.09091, 0.18182, 0.24242]","[1, 1, 0, 1, 0, 0]","[5, 2, 4, 2, 3, 6, 4, 6, 1]","[0.15152, 0.06061, 0.12121, 0.06061, 0.09091, 0.18182, 0.12121, 0.18182, 0.0303]"
"[(1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (0, 2, 1)]","(0, 1, 1)",0,"(1, 0, 1)",7,"[0, 1, 1, 6, 0, 6, 6, 1, 0]","[0.04762, 0.04762, 0.28571, 0.28571, 0.28571, 0.04762]","[0, 0, 1, 1, 1, 0]","[1, 0, 6, 6, 0, 1, 0, 7, 0]","[0.04762, 0.0, 0.28571, 0.28571, 0.0, 0.04762, 0.0, 0.33333, 0.0]"
"[(0, 1, 2), (0, 1, 2), (2, 0, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (2, 0, 1), (0, 2, 1), (0, 1, 2)]","(1, 1, 0)",0,"(0, 1, 1)",8,"[0, 10, 8, 0, 0, 6, 2, 4, 0]","[0.33333, 0.26667, 0.0, 0.2, 0.06667, 0.13333]","[1, 1, 0, 1, 0, 0]","[8, 2, 0, 0, 6, 4, 2, 2, 6]","[0.26667, 0.06667, 0.0, 0.0, 0.2, 0.13333, 0.06667, 0.06667, 0.2]"
"[(1, 0, 2), (1, 0, 2), (1, 0, 2), (0, 2, 1), (0, 2, 1), (1, 0, 2), (1, 0, 2), (1, 0, 2)]","(1, 1, 0)",0,"(1, 0, 1)",7,"[0, 2, 8, 6, 0, 6, 0, 2, 0]","[0.08333, 0.33333, 0.25, 0.25, 0.0, 0.08333]","[1, 1, 0, 1, 0, 0]","[2, 6, 0, 6, 0, 2, 0, 2, 6]","[0.08333, 0.25, 0.0, 0.25, 0.0, 0.08333, 0.0, 0.08333, 0.25]"
"[(2, 0, 1), (1, 0, 2), (2, 0, 1), (1, 0, 2), (1, 0, 2), (2, 0, 1), (0, 2, 1)]","(1, 0, 1)",1,"(0, 1, 1)",5,"[0, 4, 4, 3, 0, 3, 3, 4, 0]","[0.19048, 0.19048, 0.14286, 0.14286, 0.14286, 0.19048]","[1, 1, 0, 1, 0, 0]","[1, 6, 0, 3, 0, 4, 3, 1, 3]","[0.04762, 0.28571, 0.0, 0.14286, 0.0, 0.19048, 0.14286, 0.04762, 0.14286]"
"[(1, 2, 0), (1, 2, 0), (1, 2, 0), (0, 2, 1), (1, 0, 2), (1, 0, 2), (1, 2, 0), (2, 1, 0), (1, 0, 2), (0, 2, 1), (1, 2, 0)]","(0, 1, 1)",0,"(1, 0, 1)",7,"[0, 2, 5, 9, 0, 8, 6, 3, 0]","[0.06061, 0.15152, 0.27273, 0.24242, 0.18182, 0.09091]","[1, 1, 0, 1, 0, 0]","[2, 3, 6, 8, 1, 2, 1, 7, 3]","[0.06061, 0.09091, 0.18182, 0.24242, 0.0303, 0.06061, 0.0303, 0.21212, 0.09091]"
"[(0, 1, 2), (2, 1, 0), (0, 1, 2), (2, 1, 0), (0, 1, 2), (0, 1, 2), (1, 0, 2)]","(1, 1, 0)",0,"(0, 1, 1)",7,"[0, 4, 5, 3, 0, 5, 2, 2, 0]","[0.19048, 0.2381, 0.14286, 0.2381, 0.09524, 0.09524]","[1, 1, 0, 1, 0, 0]","[4, 1, 2, 1, 6, 0, 2, 0, 5]","[0.19048, 0.04762, 0.09524, 0.04762, 0.28571, 0.0, 0.09524, 0.0, 0.2381]"
"[(0, 1, 2), (2, 0, 1), (1, 0, 2), (1, 0, 2), (2, 0, 1), (2, 0, 1), (2, 0, 1), (2, 0, 1), (2, 0, 1), (1, 0, 2)]","(1, 0, 1)",0,"(1, 1, 0)",7,"[0, 7, 4, 3, 0, 4, 6, 6, 0]","[0.23333, 0.13333, 0.1, 0.13333, 0.2, 0.2]","[1, 1, 0, 1, 0, 0]","[1, 9, 0, 3, 1, 6, 6, 0, 4]","[0.03333, 0.3, 0.0, 0.1, 0.03333, 0.2, 0.2, 0.0, 0.13333]"
"[(1, 2, 0), (1, 0, 2), (2, 0, 1)]","(0, 1, 1)",0,"(1, 0, 1)",5,"[0, 1, 1, 2, 0, 2, 2, 1, 0]","[0.11111, 0.11111, 0.22222, 0.22222, 0.22222, 0.11111]","[0, 0, 1, 1, 1, 0]","[0, 2, 1, 2, 0, 1, 1, 1, 1]","[0.0, 0.22222, 0.11111, 0.22222, 0.0, 0.11111, 0.11111, 0.11111, 0.11111]"
"[(0, 1, 2), (1, 2, 0), (2, 1, 0), (0, 1, 2), (2, 1, 0), (1, 2, 0)]","(0, 1, 1)",0,"(1, 0, 1)",5,"[0, 2, 2, 4, 0, 4, 4, 2, 0]","[0.11111, 0.11111, 0.22222, 0.22222, 0.22222, 0.11111]","[1, 1, 0, 1, 0, 0]","[2, 0, 4, 2, 4, 0, 2, 2, 2]","[0.11111, 0.0, 0.22222, 0.11111, 0.22222, 0.0, 0.11111, 0.11111, 0.11111]"
"[(2, 1, 0), (2, 1, 0), (1, 2, 0), (1, 0, 2), (1, 2, 0), (1, 2, 0), (2, 1, 0), (1, 2, 0), (0, 2, 1)]","(0, 1, 1)",0,"(1, 0, 1)",7,"[0, 1, 2, 8, 0, 5, 7, 4, 0]","[0.03704, 0.07407, 0.2963, 0.18519, 0.25926, 0.14815]","[0, 1, 1, 1, 0, 0]","[1, 1, 7, 5, 3, 1, 3, 5, 1]","[0.03704, 0.03704, 0.25926, 0.18519, 0.11111, 0.03704, 0.11111, 0.18519, 0.03704]"
"[(2, 1, 0), (1, 0, 2), (2, 1, 0), (1, 0, 2), (1, 2, 0), (1, 0, 2)]","(0, 1, 1)",0,"(1, 0, 1)",6,"[0, 0, 3, 6, 0, 4, 3, 2, 0]","[0.0, 0.16667, 0.33333, 0.22222, 0.16667, 0.11111]","[0, 1, 1, 1, 0, 0]","[0, 3, 3, 4, 2, 0, 2, 1, 3]","[0.0, 0.16667, 0.16667, 0.22222, 0.11111, 0.0, 0.11111, 0.05556, 0.16667]"
"[(0, 1, 2), (2, 1, 0), (2, 1, 0), (1, 2, 0), (1, 0, 2), (2, 1, 0), (2, 1, 0), (1, 0, 2), (2, 1, 0), (2, 1, 0), (2, 1, 0), (1, 2, 0)]","(0, 1, 1)",0,"(1, 1, 0)",7,"[0, 1, 3, 11, 0, 5, 9, 7, 0]","[0.02778, 0.08333, 0.30556, 0.13889, 0.25, 0.19444]","[0, 1, 1, 1, 0, 0]","[1, 2, 9, 4, 8, 0, 7, 2, 3]","[0.02778, 0.05556, 0.25, 0.11111, 0.22222, 0.0, 0.19444, 0.05556, 0.08333]"
"[(1, 0, 2), (2, 1, 0), (2, 1, 0), (2, 0, 1), (2, 0, 1), (1, 0, 2), (1, 0, 2), (1, 2, 0), (1, 2, 0), (0, 2, 1)]","(0, 1, 1)",0,"(1, 0, 1)",3,"[0, 3, 4, 7, 0, 5, 6, 5, 0]","[0.1, 0.13333, 0.23333, 0.16667, 0.2, 0.16667]","[1, 1, 0, 1, 0, 0]","[1, 5, 4, 5, 2, 3, 4, 3, 3]","[0.03333, 0.16667, 0.13333, 0.16667, 0.06667, 0.1, 0.13333, 0.1, 0.1]"
"[(0, 1, 2), (1, 2, 0), (2, 0, 1), (1, 2, 0), (0, 1, 2), (1, 0, 2), (0, 1, 2), (1, 2, 0), (1, 0, 2), (0, 1, 2), (2, 1, 0), (2, 1, 0), (1, 0, 2)]","(1, 1, 0)",0,"(1, 0, 1)",5,"[0, 5, 7, 8, 0, 10, 6, 3, 0]","[0.12821, 0.17949, 0.20513, 0.25641, 0.15385, 0.07692]","[1, 1, 0, 1, 0, 0]","[4, 4, 5, 6, 6, 1, 3, 3, 7]","[0.10256, 0.10256, 0.12821, 0.15385, 0.15385, 0.02564, 0.07692, 0.07692, 0.17949]"
"[(0, 2, 1), (0, 2, 1), (2, 0, 1), (1, 2, 0), (0, 2, 1), (2, 0, 1)]","(1, 0, 1)",0,"(0, 1, 1)",5,"[0, 5, 3, 1, 0, 1, 3, 5, 0]","[0.27778, 0.16667, 0.05556, 0.05556, 0.16667, 0.27778]","[1, 1, 0, 0, 0, 1]","[3, 2, 1, 1, 0, 5, 2, 4, 0]","[0.16667, 0.11111, 0.05556, 0.05556, 0.0, 0.27778, 0.11111, 0.22222, 0.0]"
"[(1, 2, 0), (1, 2, 0), (1, 2, 0), (0, 2, 1), (0, 1, 2), (0, 2, 1)]","(1, 1, 0)",0,"(1, 0, 1)",3,"[0, 3, 3, 3, 0, 4, 3, 2, 0]","[0.16667, 0.16667, 0.16667, 0.22222, 0.16667, 0.11111]","[1, 1, 0, 1, 0, 0]","[3, 0, 3, 3, 1, 2, 0, 5, 1]","[0.16667, 0.0, 0.16667, 0.16667, 0.05556, 0.11111, 0.0, 0.27778, 0.05556]"
"[(1, 2, 0), (0, 1, 2), (0, 1, 2), (1, 2, 0), (0, 1, 2), (0, 1, 2), (2, 1, 0), (0, 1, 2), (1, 0, 2), (2, 1, 0)]","(1, 1, 0)",0,"(0, 1, 1)",5,"[0, 5, 6, 5, 0, 8, 4, 2, 0]","[0.16667, 0.2, 0.16667, 0.26667, 0.13333, 0.06667]","[1, 1, 0, 1, 0, 0]","[5, 1, 4, 3, 7, 0, 2, 2, 6]","[0.16667, 0.03333, 0.13333, 0.1, 0.23333, 0.0, 0.06667, 0.06667, 0.2]"
"[(0, 1, 2), (0, 1, 2), (0, 1, 2), (2, 1, 0)]","(1, 1, 0)",0,"(0, 1, 1)",7,"[0, 3, 3, 1, 0, 3, 1, 1, 0]","[0.25, 0.25, 0.08333, 0.25, 0.08333, 0.08333]","[1, 1, 0, 1, 0, 0]","[3, 0, 1, 0, 4, 0, 1, 0, 3]","[0.25, 0.0, 0.08333, 0.0, 0.33333, 0.0, 0.08333, 0.0, 0.25]"
"[(2, 0, 1), (1, 2, 0), (0, 2, 1), (1, 2, 0), (2, 0, 1), (2, 0, 1), (0, 2, 1), (1, 2, 0), (2, 0, 1)]","(1, 0, 1)",0,"(1, 1, 0)",6,"[0, 6, 2, 3, 0, 3, 7, 6, 0]","[0.22222, 0.07407, 0.11111, 0.11111, 0.25926, 0.22222]","[1, 1, 0, 1, 0, 0]","[2, 4, 3, 3, 0, 6, 4, 5, 0]","[0.07407, 0.14815, 0.11111, 0.11111, 0.0, 0.22222, 0.14815, 0.18519, 0.0]"
"[(1, 2, 0), (1, 0, 2), (1, 2, 0), (0, 1, 2), (1, 0, 2), (2, 1, 0), (1, 0, 2), (1, 0, 2), (2, 1, 0), (1, 0, 2), (0, 1, 2), (0, 1, 2), (2, 1, 0), (1, 2, 0), (0, 1, 2)]","(1, 1, 0)",0,"(1, 0, 1)",8,"[0, 4, 9, 11, 0, 12, 6, 3, 0]","[0.08889, 0.2, 0.24444, 0.26667, 0.13333, 0.06667]","[1, 1, 0, 1, 0, 0]","[4, 5, 6, 8, 7, 0, 3, 3, 9]","[0.08889, 0.11111, 0.13333, 0.17778, 0.15556, 0.0, 0.06667, 0.06667, 0.2]"
"[(1, 0, 2), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0)]","(0, 1, 1)",0,"(1, 0, 1)",8,"[0, 0, 1, 6, 0, 6, 5, 0, 0]","[0.0, 0.05556, 0.33333, 0.33333, 0.27778, 0.0]","[0, 0, 1, 1, 1, 0]","[0, 1, 5, 6, 0, 0, 0, 5, 1]","[0.0, 0.05556, 0.27778, 0.33333, 0.0, 0.0, 0.0, 0.27778, 0.05556]"
"[(1, 2, 0), (1, 2, 0), (0, 2, 1), (2, 1, 0)]","(0, 1, 1)",0,"(1, 0, 1)",5,"[0, 1, 1, 3, 0, 2, 3, 2, 0]","[0.08333, 0.08333, 0.25, 0.16667, 0.25, 0.16667]","[0, 0, 1, 1, 1, 0]","[1, 0, 3, 2, 1, 1, 1, 3, 0]","[0.08333, 0.0, 0.25, 0.16667, 0.08333, 0.08333, 0.08333, 0.25, 0.0]"
"[(2, 0, 1), (2, 1, 0), (2, 1, 0), (2, 1, 0), (2, 1, 0), (2, 0, 1), (2, 1, 0), (2, 0, 1), (0, 2, 1), (1, 0, 2)]","(0, 1, 1)",0,"(1, 1, 0)",5,"[0, 4, 2, 6, 0, 1, 8, 9, 0]","[0.13333, 0.06667, 0.2, 0.03333, 0.26667, 0.3]","[1, 1, 0, 0, 0, 1]","[1, 4, 5, 1, 5, 4, 8, 1, 1]","[0.03333, 0.13333, 0.16667, 0.03333, 0.16667, 0.13333, 0.26667, 0.03333, 0.03333]"
"[(1, 0, 2), (2, 0, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (1, 0, 2), (0, 2, 1), (2, 0, 1), (2, 0, 1), (0, 2, 1)]","(1, 0, 1)",0,"(0, 1, 1)",7,"[0, 8, 7, 2, 0, 2, 3, 8, 0]","[0.26667, 0.23333, 0.06667, 0.06667, 0.1, 0.26667]","[1, 1, 0, 1, 0, 0]","[5, 5, 0, 2, 0, 8, 3, 5, 2]","[0.16667, 0.16667, 0.0, 0.06667, 0.0, 0.26667, 0.1, 0.16667, 0.06667]"
"[(0, 2, 1), (1, 2, 0), (2, 1, 0), (2, 1, 0), (1, 2, 0), (2, 0, 1), (1, 2, 0), (1, 0, 2)]","(0, 1, 1)",0,"(1, 0, 1)",5,"[0, 2, 2, 6, 0, 4, 6, 4, 0]","[0.08333, 0.08333, 0.25, 0.16667, 0.25, 0.16667]","[1, 1, 0, 1, 0, 0]","[1, 2, 5, 4, 2, 2, 3, 4, 1]","[0.04167, 0.08333, 0.20833, 0.16667, 0.08333, 0.08333, 0.125, 0.16667, 0.04167]"
"[(1, 2, 0), (1, 0, 2), (1, 2, 0), (1, 0, 2), (2, 1, 0), (1, 2, 0), (1, 2, 0), (1, 0, 2), (2, 1, 0)]","(0, 1, 1)",0,"(1, 0, 1)",8,"[0, 0, 3, 9, 0, 7, 6, 2, 0]","[0.0, 0.11111, 0.33333, 0.25926, 0.22222, 0.07407]","[0, 1, 1, 1, 0, 0]","[0, 3, 6, 7, 2, 0, 2, 4, 3]","[0.0, 0.11111, 0.22222, 0.25926, 0.07407, 0.0, 0.07407, 0.14815, 0.11111]"
"[(1, 0, 2), (2, 1, 0), (1, 2, 0), (2, 1, 0), (1, 2, 0), (2, 0, 1), (2, 1, 0), (1, 2, 0)]","(0, 1, 1)",0,"(1, 1, 0)",5,"[0, 1, 1, 7, 0, 4, 7, 4, 0]","[0.04167, 0.04167, 0.29167, 0.16667, 0.29167, 0.16667]","[0, 0, 1, 1, 1, 0]","[0, 2, 6, 4, 3, 1, 4, 3, 1]","[0.0, 0.08333, 0.25, 0.16667, 0.125, 0.04167, 0.16667, 0.125, 0.04167]"
"[(0, 1, 2), (2, 1, 0), (1, 0, 2), (1, 0, 2), (1, 2, 0), (0, 1, 2), (1, 2, 0), (1, 2, 0), (0, 1, 2)]","(1, 1, 0)",0,"(1, 0, 1)",8,"[0, 3, 5, 6, 0, 8, 4, 1, 0]","[0.11111, 0.18519, 0.22222, 0.2963, 0.14815, 0.03704]","[1, 1, 0, 1, 0, 0]","[3, 2, 4, 5, 4, 0, 1, 3, 5]","[0.11111, 0.07407, 0.14815, 0.18519, 0.14815, 0.0, 0.03704, 0.11111, 0.18519]"
"[(1, 2, 0), (0, 2, 1), (1, 0, 2), (2, 1, 0), (1, 2, 0), (2, 0, 1), (1, 2, 0), (1, 0, 2), (1, 0, 2), (0, 2, 1), (0, 1, 2), (1, 2, 0)]","(0, 1, 1)",0,"(1, 0, 1)",5,"[0, 4, 6, 8, 0, 8, 6, 4, 0]","[0.11111, 0.16667, 0.22222, 0.22222, 0.16667, 0.11111]","[1, 1, 0, 1, 0, 0]","[3, 4, 5, 7, 2, 3, 2, 6, 4]","[0.08333, 0.11111, 0.13889, 0.19444, 0.05556, 0.08333, 0.05556, 0.16667, 0.11111]"
"[(1, 2, 0), (0, 2, 1), (0, 2, 1), (1, 2, 0), (0, 2, 1), (1, 2, 0), (1, 0, 2), (1, 2, 0), (2, 0, 1), (2, 0, 1), (1, 0, 2)]","(0, 1, 1)",0,"(1, 0, 1)",5,"[0, 5, 5, 6, 0, 6, 6, 5, 0]","[0.15152, 0.15152, 0.18182, 0.18182, 0.18182, 0.15152]","[1, 1, 0, 1, 0, 0]","[3, 4, 4, 6, 0, 5, 2, 7, 2]","[0.09091, 0.12121, 0.12121, 0.18182, 0.0, 0.15152, 0.06061, 0.21212, 0.06061]"
"[(2, 0, 1), (2, 1, 0), (1, 2, 0), (2, 1, 0), (2, 0, 1), (2, 0, 1)]","(0, 1, 1)",0,"(1, 1, 0)",6,"[0, 3, 0, 3, 0, 1, 6, 5, 0]","[0.16667, 0.0, 0.16667, 0.05556, 0.33333, 0.27778]","[1, 0, 0, 0, 1, 1]","[0, 3, 3, 1, 2, 3, 5, 1, 0]","[0.0, 0.16667, 0.16667, 0.05556, 0.11111, 0.16667, 0.27778, 0.05556, 0.0]"
"[(1, 2, 0), (0, 2, 1), (2, 0, 1), (1, 2, 0), (1, 0, 2), (1, 0, 2), (1, 2, 0)]","(0, 1, 1)",0,"(1, 0, 1)",5,"[0, 2, 3, 5, 0, 5, 4, 2, 0]","[0.09524, 0.14286, 0.2381, 0.2381, 0.19048, 0.09524]","[1, 1, 0, 1, 0, 0]","[1, 3, 3, 5, 0, 2, 1, 4, 2]","[0.04762, 0.14286, 0.14286, 0.2381, 0.0, 0.09524, 0.04762, 0.19048, 0.09524]"
"[(1, 0, 2), (1, 0, 2), (1, 0, 2), (2, 0, 1), (0, 2, 1), (1, 0, 2), (1, 0, 2), (0, 1, 2), (2, 0, 1), (1, 0, 2), (0, 2, 1), (2, 1, 0)]","(1, 1, 0)",0,"(1, 0, 1)",6,"[0, 5, 9, 7, 0, 7, 3, 5, 0]","[0.13889, 0.25, 0.19444, 0.19444, 0.08333, 0.13889]","[1, 1, 0, 1, 0, 0]","[3, 8, 1, 6, 2, 4, 3, 2, 7]","[0.08333, 0.22222, 0.02778, 0.16667, 0.05556, 0.11111, 0.08333, 0.05556, 0.19444]"
"[(0, 1, 2), (0, 1, 2), (1, 0, 2), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 0, 2), (2, 1, 0), (2, 1, 0), (0, 1, 2), (0, 1, 2)]","(1, 1, 0)",0,"(1, 0, 1)",6,"[0, 4, 6, 7, 0, 9, 5, 2, 0]","[0.12121, 0.18182, 0.21212, 0.27273, 0.15152, 0.06061]","[1, 1, 0, 1, 0, 0]","[4, 2, 5, 5, 6, 0, 2, 3, 6]","[0.12121, 0.06061, 0.15152, 0.15152, 0.18182, 0.0, 0.06061, 0.09091, 0.18182]"
"[(1, 0, 2), (2, 1, 0), (1, 0, 2), (2, 1, 0), (1, 0, 2), (2, 1, 0), (1, 2, 0), (2, 1, 0), (0, 1, 2), (1, 0, 2)]","(0, 1, 1)",0,"(1, 0, 1)",5,"[0, 1, 5, 9, 0, 6, 5, 4, 0]","[0.03333, 0.16667, 0.3, 0.2, 0.16667, 0.13333]","[0, 1, 1, 1, 0, 0]","[1, 4, 5, 5, 5, 0, 4, 1, 5]","[0.03333, 0.13333, 0.16667, 0.16667, 0.16667, 0.0, 0.13333, 0.03333, 0.16667]"
"[(1, 2, 0), (0, 1, 2), (1, 2, 0), (0, 1, 2), (0, 1, 2), (1, 2, 0), (0, 1, 2), (1, 2, 0), (0, 1, 2), (2, 1, 0), (1, 2, 0)]","(0, 1, 1)",1,"(1, 0, 1)",6,"[0, 5, 5, 6, 0, 10, 6, 1, 0]","[0.15152, 0.15152, 0.18182, 0.30303, 0.18182, 0.0303]","[1, 1, 0, 1, 0, 0]","[5, 0, 6, 5, 6, 0, 1, 5, 5]","[0.15152, 0.0, 0.18182, 0.15152, 0.18182, 0.0, 0.0303, 0.15152, 0.15152]"
