Profile,Winner,Num_Violations,Borda ranking Winner,Plurality ranking Winner,STV Winner,Approval Voting (AV) Winner,Proportional Approval Voting (PAV) Winner,Approval Chamberlin-Courant (CC) Winner,Lexicographic Chamberlin-Courant (lex-CC) Winner,Sequential Approval Chamberlin-Courant (seq-CC) Winner,Monroe's Approval Rule (Monroe) Winner,Greedy Monroe Winner,Minimax Approval Voting (MAV) Winner,candidate_pairs,candidate_pairs-normalized,candidate_pairs-no_diagonal,candidate_pairs-normalized-no_diagonal,candidate_pairs-normalized-upper_half,binary_pairs,binary_pairs-no_diagonal,binary_pairs-upper_half,rank_matrix,rank_matrix-normalized
"[(3, 2, 1, 4, 0), (2, 1, 3, 4, 0), (3, 1, 4, 0, 2), (0, 3, 4, 1, 2), (1, 4, 3, 0, 2), (3, 0, 1, 4, 2), (1, 4, 2, 3, 0), (2, 4, 3, 0, 1), (1, 2, 4, 3, 0), (4, 1, 2, 0, 3), (1, 0, 2, 4, 3), (2, 0, 4, 1, 3), (3, 1, 0, 2, 4), (4, 0, 2, 1, 3), (2, 1, 3, 4, 0), (1, 3, 2, 0, 4), (4, 3, 2, 0, 1), (0, 2, 4, 1, 3), (2, 3, 4, 0, 1), (0, 1, 2, 4, 3)]","(0, 1, 1, 0, 1)",0,"(0, 1, 1, 0, 1)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 0, 1, 1, 1)","(0, 1, 1, 0, 1)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","[0, 9, 9, 7, 8, 11, 0, 11, 12, 12, 11, 9, 0, 12, 12, 13, 8, 8, 0, 9, 12, 8, 8, 11, 0]","[0.0, 0.045, 0.045, 0.035, 0.04, 0.055, 0.0, 0.055, 0.06, 0.06, 0.055, 0.045, 0.0, 0.06, 0.06, 0.065, 0.04, 0.04, 0.0, 0.045, 0.06, 0.04, 0.04, 0.055, 0.0]","[9, 9, 7, 8, 11, 11, 12, 12, 11, 9, 12, 12, 13, 8, 8, 9, 12, 8, 8, 11]","[0.045, 0.045, 0.035, 0.04, 0.055, 0.055, 0.06, 0.06, 0.055, 0.045, 0.06, 0.06, 0.065, 0.04, 0.04, 0.045, 0.06, 0.04, 0.04, 0.055]","[0.08911 0.08911 0.06931 0.07921 0.10891 0.11881 0.11881 0.11881 0.11881
 0.08911]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 0]","[3, 4, 1, 7, 5, 5, 6, 2, 4, 3, 5, 3, 7, 1, 4, 4, 4, 4, 2, 6, 3, 3, 6, 6, 2]","[0.03, 0.04, 0.01, 0.07, 0.05, 0.05, 0.06, 0.02, 0.04, 0.03, 0.05, 0.03, 0.07, 0.01, 0.04, 0.04, 0.04, 0.04, 0.02, 0.06, 0.03, 0.03, 0.06, 0.06, 0.02]"
"[(3, 0, 4, 2, 1), (2, 4, 1, 3, 0), (0, 3, 1, 4, 2), (2, 3, 1, 4, 0), (1, 4, 3, 2, 0), (4, 2, 1, 3, 0), (3, 4, 2, 0, 1), (2, 4, 0, 3, 1), (4, 2, 1, 3, 0), (1, 2, 0, 4, 3), (2, 0, 3, 1, 4), (4, 0, 1, 2, 3), (3, 0, 2, 4, 1), (3, 2, 0, 4, 1), (3, 1, 4, 2, 0), (0, 3, 1, 2, 4), (3, 0, 2, 4, 1), (2, 1, 3, 4, 0), (2, 0, 4, 3, 1), (0, 3, 4, 1, 2)]","(0, 0, 1, 1, 1)",0,"(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","[0, 12, 7, 8, 10, 8, 0, 7, 7, 8, 13, 13, 0, 10, 11, 12, 13, 10, 0, 12, 10, 12, 9, 8, 0]","[0.0, 0.06, 0.035, 0.04, 0.05, 0.04, 0.0, 0.035, 0.035, 0.04, 0.065, 0.065, 0.0, 0.05, 0.055, 0.06, 0.065, 0.05, 0.0, 0.06, 0.05, 0.06, 0.045, 0.04, 0.0]","[12, 7, 8, 10, 8, 7, 7, 8, 13, 13, 10, 11, 12, 13, 10, 12, 10, 12, 9, 8]","[0.06, 0.035, 0.04, 0.05, 0.04, 0.035, 0.035, 0.04, 0.065, 0.065, 0.05, 0.055, 0.06, 0.065, 0.05, 0.06, 0.05, 0.06, 0.045, 0.04]","[0.13043 0.07609 0.08696 0.1087  0.07609 0.07609 0.08696 0.1087  0.11957
 0.13043]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[3, 6, 3, 1, 7, 2, 2, 7, 2, 7, 6, 4, 3, 5, 2, 6, 4, 3, 5, 2, 3, 4, 4, 7, 2]","[0.03, 0.06, 0.03, 0.01, 0.07, 0.02, 0.02, 0.07, 0.02, 0.07, 0.06, 0.04, 0.03, 0.05, 0.02, 0.06, 0.04, 0.03, 0.05, 0.02, 0.03, 0.04, 0.04, 0.07, 0.02]"
"[(2, 0, 4, 1, 3), (0, 4, 1, 2, 3), (3, 0, 1, 4, 2), (0, 1, 4, 2, 3), (3, 4, 2, 0, 1), (4, 1, 0, 2, 3), (4, 1, 3, 0, 2), (1, 4, 2, 3, 0), (4, 2, 0, 1, 3), (3, 0, 1, 2, 4), (3, 0, 1, 4, 2), (0, 3, 2, 1, 4), (0, 2, 3, 1, 4), (4, 1, 3, 0, 2), (3, 0, 2, 4, 1), (2, 4, 0, 3, 1), (4, 0, 1, 2, 3), (4, 0, 1, 2, 3), (3, 0, 4, 2, 1), (3, 1, 2, 0, 4)]","(1, 0, 0, 1, 1)",0,"(1, 0, 0, 1, 1)","(1, 0, 0, 1, 1)","(1, 0, 0, 1, 1)","(1, 1, 0, 0, 1)","(1, 0, 0, 1, 1)","(0, 0, 1, 1, 1)","(1, 0, 0, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 0, 0, 1, 1)","(0, 0, 1, 1, 1)","[0, 15, 14, 10, 11, 5, 0, 12, 10, 8, 6, 8, 0, 10, 7, 10, 10, 10, 0, 9, 9, 12, 13, 11, 0]","[0.0, 0.075, 0.07, 0.05, 0.055, 0.025, 0.0, 0.06, 0.05, 0.04, 0.03, 0.04, 0.0, 0.05, 0.035, 0.05, 0.05, 0.05, 0.0, 0.045, 0.045, 0.06, 0.065, 0.055, 0.0]","[15, 14, 10, 11, 5, 12, 10, 8, 6, 8, 10, 7, 10, 10, 10, 9, 9, 12, 13, 11]","[0.075, 0.07, 0.05, 0.055, 0.025, 0.06, 0.05, 0.04, 0.03, 0.04, 0.05, 0.035, 0.05, 0.05, 0.05, 0.045, 0.045, 0.06, 0.065, 0.055]","[0.14151 0.13208 0.09434 0.10377 0.11321 0.09434 0.07547 0.09434 0.06604
 0.08491]","[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0]","[4, 8, 3, 4, 1, 1, 5, 6, 4, 4, 2, 2, 5, 7, 4, 7, 1, 3, 2, 7, 6, 4, 3, 3, 4]","[0.04, 0.08, 0.03, 0.04, 0.01, 0.01, 0.05, 0.06, 0.04, 0.04, 0.02, 0.02, 0.05, 0.07, 0.04, 0.07, 0.01, 0.03, 0.02, 0.07, 0.06, 0.04, 0.03, 0.03, 0.04]"
"[(0, 3, 4, 2, 1), (1, 4, 0, 3, 2), (2, 4, 0, 3, 1), (2, 4, 0, 1, 3), (2, 4, 1, 0, 3), (4, 0, 2, 1, 3), (1, 4, 3, 2, 0), (0, 1, 4, 2, 3), (3, 0, 4, 2, 1), (1, 4, 3, 0, 2), (4, 2, 0, 1, 3), (4, 3, 2, 0, 1), (0, 1, 4, 3, 2), (0, 1, 4, 3, 2), (0, 1, 3, 2, 4), (1, 4, 2, 3, 0), (4, 2, 1, 0, 3), (2, 3, 4, 0, 1), (2, 3, 0, 4, 1), (2, 0, 4, 3, 1)]","(1, 0, 1, 0, 1)",0,"(1, 0, 1, 0, 1)","(1, 1, 1, 0, 0)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","[0, 14, 9, 13, 8, 6, 0, 8, 13, 8, 11, 12, 0, 11, 7, 7, 7, 9, 0, 5, 12, 12, 13, 15, 0]","[0.0, 0.07, 0.045, 0.065, 0.04, 0.03, 0.0, 0.04, 0.065, 0.04, 0.055, 0.06, 0.0, 0.055, 0.035, 0.035, 0.035, 0.045, 0.0, 0.025, 0.06, 0.06, 0.065, 0.075, 0.0]","[14, 9, 13, 8, 6, 8, 13, 8, 11, 12, 11, 7, 7, 7, 9, 5, 12, 12, 13, 15]","[0.07, 0.045, 0.065, 0.04, 0.03, 0.04, 0.065, 0.04, 0.055, 0.06, 0.055, 0.035, 0.035, 0.035, 0.045, 0.025, 0.06, 0.06, 0.065, 0.075]","[0.14583 0.09375 0.13542 0.08333 0.08333 0.13542 0.08333 0.11458 0.07292
 0.05208]","[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]","[1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[1, 0, 1, 0, 0, 1, 0, 1, 0, 0]","[5, 3, 5, 5, 2, 4, 4, 2, 3, 7, 6, 2, 3, 5, 4, 1, 4, 3, 6, 6, 4, 7, 7, 1, 1]","[0.05, 0.03, 0.05, 0.05, 0.02, 0.04, 0.04, 0.02, 0.03, 0.07, 0.06, 0.02, 0.03, 0.05, 0.04, 0.01, 0.04, 0.03, 0.06, 0.06, 0.04, 0.07, 0.07, 0.01, 0.01]"
"[(2, 4, 0, 1, 3), (1, 3, 2, 4, 0), (4, 1, 0, 2, 3), (0, 2, 4, 1, 3), (2, 4, 1, 3, 0), (1, 0, 2, 3, 4), (1, 4, 2, 3, 0), (4, 0, 2, 1, 3), (0, 2, 3, 1, 4), (2, 4, 3, 1, 0), (2, 3, 4, 1, 0), (2, 1, 3, 0, 4), (0, 1, 4, 2, 3), (4, 3, 0, 2, 1), (1, 0, 4, 3, 2), (0, 1, 3, 4, 2), (1, 2, 0, 4, 3), (4, 3, 1, 2, 0), (4, 3, 1, 2, 0), (1, 4, 3, 0, 2)]","(0, 1, 1, 0, 1)",0,"(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 0, 1, 1, 1)","(0, 1, 1, 0, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(0, 0, 1, 1, 1)","[0, 7, 10, 10, 8, 13, 0, 11, 14, 10, 10, 9, 0, 13, 10, 10, 6, 7, 0, 6, 12, 10, 10, 14, 0]","[0.0, 0.035, 0.05, 0.05, 0.04, 0.065, 0.0, 0.055, 0.07, 0.05, 0.05, 0.045, 0.0, 0.065, 0.05, 0.05, 0.03, 0.035, 0.0, 0.03, 0.06, 0.05, 0.05, 0.07, 0.0]","[7, 10, 10, 8, 13, 11, 14, 10, 10, 9, 13, 10, 10, 6, 7, 6, 12, 10, 10, 14]","[0.035, 0.05, 0.05, 0.04, 0.065, 0.055, 0.07, 0.05, 0.05, 0.045, 0.065, 0.05, 0.05, 0.03, 0.035, 0.03, 0.06, 0.05, 0.05, 0.07]","[0.07071 0.10101 0.10101 0.08081 0.11111 0.14141 0.10101 0.13131 0.10101
 0.06061]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 1, 1, 0, 1, 0, 0]","[4, 3, 4, 2, 7, 6, 4, 3, 6, 1, 5, 3, 4, 5, 3, 0, 5, 5, 4, 6, 5, 5, 4, 3, 3]","[0.04, 0.03, 0.04, 0.02, 0.07, 0.06, 0.04, 0.03, 0.06, 0.01, 0.05, 0.03, 0.04, 0.05, 0.03, 0.0, 0.05, 0.05, 0.04, 0.06, 0.05, 0.05, 0.04, 0.03, 0.03]"
"[(0, 1, 3, 2, 4), (3, 1, 2, 4, 0), (2, 3, 0, 4, 1), (4, 2, 3, 0, 1), (1, 0, 2, 4, 3), (2, 4, 3, 0, 1), (0, 3, 4, 1, 2), (4, 1, 3, 0, 2), (1, 4, 3, 0, 2), (4, 2, 3, 0, 1), (4, 0, 3, 2, 1), (3, 0, 2, 1, 4), (0, 2, 1, 3, 4), (0, 3, 2, 4, 1), (4, 2, 1, 0, 3), (2, 3, 1, 4, 0), (4, 2, 1, 3, 0), (1, 0, 2, 3, 4), (1, 4, 3, 0, 2), (4, 3, 1, 2, 0)]","(1, 0, 0, 1, 1)",0,"(0, 0, 1, 1, 1)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 0, 1, 1, 1)","(0, 1, 1, 1, 0)","(1, 1, 0, 1, 0)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(0, 0, 1, 1, 1)","[0, 10, 11, 8, 8, 10, 0, 9, 9, 9, 9, 11, 0, 10, 10, 12, 11, 10, 0, 9, 12, 11, 10, 11, 0]","[0.0, 0.05, 0.055, 0.04, 0.04, 0.05, 0.0, 0.045, 0.045, 0.045, 0.045, 0.055, 0.0, 0.05, 0.05, 0.06, 0.055, 0.05, 0.0, 0.045, 0.06, 0.055, 0.05, 0.055, 0.0]","[10, 11, 8, 8, 10, 9, 9, 9, 9, 11, 10, 10, 12, 11, 10, 9, 12, 11, 10, 11]","[0.05, 0.055, 0.04, 0.04, 0.05, 0.045, 0.045, 0.045, 0.045, 0.055, 0.05, 0.05, 0.06, 0.055, 0.05, 0.045, 0.06, 0.055, 0.05, 0.055]","[0.10753 0.11828 0.08602 0.08602 0.09677 0.09677 0.09677 0.10753 0.10753
 0.09677]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 4, 1, 7, 4, 4, 3, 5, 2, 6, 3, 5, 5, 3, 4, 2, 5, 8, 3, 2, 7, 3, 1, 5, 4]","[0.04, 0.04, 0.01, 0.07, 0.04, 0.04, 0.03, 0.05, 0.02, 0.06, 0.03, 0.05, 0.05, 0.03, 0.04, 0.02, 0.05, 0.08, 0.03, 0.02, 0.07, 0.03, 0.01, 0.05, 0.04]"
"[(4, 2, 3, 0, 1), (1, 2, 4, 0, 3), (1, 0, 2, 3, 4), (3, 1, 4, 2, 0), (4, 2, 0, 1, 3), (3, 0, 2, 1, 4), (4, 2, 0, 3, 1), (1, 3, 4, 0, 2), (2, 0, 3, 1, 4), (3, 4, 2, 1, 0), (3, 0, 1, 4, 2), (3, 4, 0, 2, 1), (0, 1, 2, 4, 3), (4, 3, 0, 2, 1), (4, 0, 3, 2, 1), (4, 3, 1, 0, 2), (4, 0, 2, 1, 3), (0, 4, 2, 3, 1), (4, 2, 0, 1, 3), (3, 0, 1, 2, 4)]","(1, 0, 0, 1, 1)",0,"(1, 0, 0, 1, 1)","(0, 1, 0, 1, 1)","(1, 0, 0, 1, 1)","(1, 0, 0, 1, 1)","(1, 0, 0, 1, 1)","(0, 0, 1, 1, 1)","(1, 0, 0, 1, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","[0, 14, 12, 10, 7, 6, 0, 8, 7, 9, 8, 12, 0, 10, 6, 10, 13, 10, 0, 9, 13, 11, 14, 11, 0]","[0.0, 0.07, 0.06, 0.05, 0.035, 0.03, 0.0, 0.04, 0.035, 0.045, 0.04, 0.06, 0.0, 0.05, 0.03, 0.05, 0.065, 0.05, 0.0, 0.045, 0.065, 0.055, 0.07, 0.055, 0.0]","[14, 12, 10, 7, 6, 8, 7, 9, 8, 12, 10, 6, 10, 13, 10, 9, 13, 11, 14, 11]","[0.07, 0.06, 0.05, 0.035, 0.03, 0.04, 0.035, 0.045, 0.04, 0.06, 0.05, 0.03, 0.05, 0.065, 0.05, 0.045, 0.065, 0.055, 0.07, 0.055]","[0.15217 0.13043 0.1087  0.07609 0.08696 0.07609 0.09783 0.1087  0.06522
 0.09783]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 7, 5, 4, 2, 3, 2, 3, 6, 6, 1, 5, 6, 5, 3, 6, 3, 3, 3, 5, 8, 3, 3, 2, 4]","[0.02, 0.07, 0.05, 0.04, 0.02, 0.03, 0.02, 0.03, 0.06, 0.06, 0.01, 0.05, 0.06, 0.05, 0.03, 0.06, 0.03, 0.03, 0.03, 0.05, 0.08, 0.03, 0.03, 0.02, 0.04]"
"[(1, 2, 4, 3, 0), (0, 1, 2, 3, 4), (1, 3, 2, 4, 0), (3, 1, 2, 4, 0), (4, 0, 1, 2, 3), (4, 2, 0, 1, 3), (3, 0, 1, 2, 4), (4, 2, 0, 1, 3), (1, 4, 0, 3, 2), (4, 2, 1, 0, 3), (4, 1, 3, 0, 2), (4, 1, 2, 3, 0), (1, 0, 2, 4, 3), (2, 1, 3, 4, 0), (2, 0, 1, 4, 3), (1, 0, 2, 4, 3), (0, 1, 2, 3, 4), (1, 0, 4, 2, 3), (0, 3, 1, 2, 4), (0, 3, 2, 1, 4)]","(0, 1, 0, 1, 1)",0,"(1, 1, 1, 0, 0)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(1, 1, 1, 0, 0)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","[0, 9, 11, 13, 9, 11, 0, 14, 16, 14, 9, 6, 0, 13, 12, 7, 4, 7, 0, 8, 11, 6, 8, 12, 0]","[0.0, 0.045, 0.055, 0.065, 0.045, 0.055, 0.0, 0.07, 0.08, 0.07, 0.045, 0.03, 0.0, 0.065, 0.06, 0.035, 0.02, 0.035, 0.0, 0.04, 0.055, 0.03, 0.04, 0.06, 0.0]","[9, 11, 13, 9, 11, 14, 16, 14, 9, 6, 13, 12, 7, 4, 7, 8, 11, 6, 8, 12]","[0.045, 0.055, 0.065, 0.045, 0.055, 0.07, 0.08, 0.07, 0.045, 0.03, 0.065, 0.06, 0.035, 0.02, 0.035, 0.04, 0.055, 0.03, 0.04, 0.06]","[0.07563 0.09244 0.10924 0.07563 0.11765 0.13445 0.11765 0.10924 0.10084
 0.06723]","[0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 0]","[4, 6, 3, 2, 5, 6, 6, 5, 3, 0, 2, 4, 8, 4, 2, 2, 3, 2, 5, 8, 6, 1, 2, 6, 5]","[0.04, 0.06, 0.03, 0.02, 0.05, 0.06, 0.06, 0.05, 0.03, 0.0, 0.02, 0.04, 0.08, 0.04, 0.02, 0.02, 0.03, 0.02, 0.05, 0.08, 0.06, 0.01, 0.02, 0.06, 0.05]"
"[(4, 1, 3, 0, 2), (1, 4, 3, 2, 0), (2, 4, 1, 0, 3), (1, 0, 3, 2, 4), (1, 3, 2, 0, 4), (0, 4, 2, 1, 3), (3, 1, 4, 0, 2), (3, 1, 2, 0, 4), (0, 2, 1, 3, 4), (4, 3, 1, 0, 2), (0, 3, 4, 1, 2), (2, 1, 3, 0, 4), (0, 4, 1, 3, 2), (3, 4, 0, 1, 2), (1, 2, 4, 3, 0), (3, 4, 2, 0, 1), (1, 3, 2, 0, 4), (0, 2, 3, 4, 1), (4, 1, 0, 2, 3), (0, 4, 1, 3, 2)]","(1, 0, 0, 1, 1)",0,"(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(0, 1, 0, 1, 1)","(0, 1, 0, 1, 1)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","[0, 8, 12, 9, 11, 12, 0, 14, 13, 9, 8, 6, 0, 7, 9, 11, 7, 13, 0, 11, 9, 11, 11, 9, 0]","[0.0, 0.04, 0.06, 0.045, 0.055, 0.06, 0.0, 0.07, 0.065, 0.045, 0.04, 0.03, 0.0, 0.035, 0.045, 0.055, 0.035, 0.065, 0.0, 0.055, 0.045, 0.055, 0.055, 0.045, 0.0]","[8, 12, 9, 11, 12, 14, 13, 9, 8, 6, 7, 9, 11, 7, 13, 11, 9, 11, 11, 9]","[0.04, 0.06, 0.045, 0.055, 0.06, 0.07, 0.065, 0.045, 0.04, 0.03, 0.035, 0.045, 0.055, 0.035, 0.065, 0.055, 0.045, 0.055, 0.055, 0.045]","[0.07767 0.1165  0.08738 0.1068  0.13592 0.12621 0.08738 0.06796 0.08738
 0.1068 ]","[0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0]","[0, 1, 0, 1, 1, 1, 0, 0, 0, 1]","[6, 1, 2, 9, 2, 5, 5, 5, 3, 2, 2, 3, 5, 3, 7, 4, 4, 5, 4, 3, 3, 7, 3, 1, 6]","[0.06, 0.01, 0.02, 0.09, 0.02, 0.05, 0.05, 0.05, 0.03, 0.02, 0.02, 0.03, 0.05, 0.03, 0.07, 0.04, 0.04, 0.05, 0.04, 0.03, 0.03, 0.07, 0.03, 0.01, 0.06]"
"[(1, 4, 3, 2, 0), (0, 4, 3, 1, 2), (0, 4, 3, 1, 2), (2, 0, 1, 4, 3), (1, 0, 3, 2, 4), (1, 4, 2, 0, 3), (1, 0, 2, 3, 4), (1, 4, 3, 2, 0), (2, 4, 1, 0, 3), (4, 0, 2, 1, 3), (3, 2, 0, 1, 4), (2, 4, 1, 0, 3), (0, 4, 3, 2, 1), (2, 3, 1, 0, 4), (1, 3, 4, 0, 2), (3, 2, 1, 4, 0), (2, 3, 4, 1, 0), (0, 2, 4, 3, 1), (2, 0, 4, 1, 3), (4, 1, 0, 3, 2)]","(0, 1, 1, 0, 1)",0,"(0, 1, 1, 0, 1)","(1, 1, 1, 0, 0)","(1, 1, 1, 0, 0)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","[0, 8, 9, 13, 10, 12, 0, 9, 12, 10, 11, 11, 0, 10, 11, 7, 8, 10, 0, 7, 10, 10, 9, 13, 0]","[0.0, 0.04, 0.045, 0.065, 0.05, 0.06, 0.0, 0.045, 0.06, 0.05, 0.055, 0.055, 0.0, 0.05, 0.055, 0.035, 0.04, 0.05, 0.0, 0.035, 0.05, 0.05, 0.045, 0.065, 0.0]","[8, 9, 13, 10, 12, 9, 12, 10, 11, 11, 10, 11, 7, 8, 10, 7, 10, 10, 9, 13]","[0.04, 0.045, 0.065, 0.05, 0.06, 0.045, 0.06, 0.05, 0.055, 0.055, 0.05, 0.055, 0.035, 0.04, 0.05, 0.035, 0.05, 0.05, 0.045, 0.065]","[0.08081 0.09091 0.13131 0.10101 0.09091 0.12121 0.10101 0.10101 0.11111
 0.07071]","[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0]","[4, 5, 2, 5, 4, 6, 1, 5, 6, 2, 6, 3, 3, 4, 4, 2, 3, 6, 3, 6, 2, 8, 4, 2, 4]","[0.04, 0.05, 0.02, 0.05, 0.04, 0.06, 0.01, 0.05, 0.06, 0.02, 0.06, 0.03, 0.03, 0.04, 0.04, 0.02, 0.03, 0.06, 0.03, 0.06, 0.02, 0.08, 0.04, 0.02, 0.04]"
